Gene	GSE59071 p (Corr)  [UC]vs [Not IBD]	GSE59071 LOG2FC ([UC] vs [Not IBD]) 	GSE59071 [UC] vs [Not IBD] 
GHR	3.60E-08	-1.70902211542028	Down
VLDLR	4.94E-21	-1.70597141815267	Down
ACAT1	5.38E-22	-1.68796341038886	Down
LRRC31	1.45E-09	-1.68351839621372	Down
SLC6A19	6.97E-09	-1.67488722513415	Down
SLC13A2	2.48E-08	-1.67348953589705	Down
PRLR	4.39E-10	-1.66722119655274	Down
RAVER2	1.72E-15	-1.66637509499122	Down
TSPAN7	1.59E-14	-1.66631518532967	Down
PPP2R3A	1.47E-20	-1.65547980289804	Down
FMO4	3.54E-19	-1.65346282274056	Down
ACVR1C	1.13E-13	-1.65208859704161	Down
DPP10	2.83E-16	-1.64985552724818	Down
XPNPEP2	8.72E-10	-1.64344704502044	Down
EFNA1	3.95E-14	-1.63906160408757	Down
UGT1A8	4.21E-12	-1.63410616614501	Down
ARHGAP44	2.03E-14	-1.62592103861404	Down
GXYLT2	3.67E-11	-1.62535976065041	Down
TMEM171	1.71E-10	-1.62501846417731	Down
CA2	5.61E-08	-1.61903816236721	Down
PDZD3	5.29E-12	-1.61459891849816	Down
PTPRR	9.93E-08	-1.61327565479045	Down
FABP1	5.89E-06	-1.60858756938373	Down
SLC36A1	3.65E-20	-1.60681742340437	Down
NAALADL1	1.54E-22	-1.60577560230032	Down
SLC51A	1.07E-10	-1.59807702295168	Down
RAPGEFL1	3.26E-13	-1.59278375843695	Down
A1CF	8.75E-09	-1.57647404021623	Down
CPA6	2.49E-13	-1.5728069381981	Down
USP2	3.21E-09	-1.56122689013001	Down
SCNN1B	2.49E-05	-1.54576175047336	Down
MOGAT2	2.94E-07	-1.54386952750482	Down
METTL7B	1.07E-14	-1.54097315142382	Down
CROT	3.42E-18	-1.54037803345738	Down
FRMD1	4.92E-21	-1.53406161674506	Down
PTGDR	2.10E-11	-1.53243754449502	Down
SLC3A1	6.03E-11	-1.52934432830638	Down
SLC37A2	4.27E-06	-1.52650561631742	Down
B3GALT1	5.01E-05	-1.52592848700161	Down
REP15	3.57E-05	-1.52550323013084	Down
PDK4	3.26E-11	-1.52334570349204	Down
SEMA6A	6.42E-11	-1.51855311149671	Down
SATB2	1.83E-08	-1.51607231324649	Down
CLYBL	1.16E-17	-1.51210990489356	Down
CA4	8.94E-05	-1.50168437274962	Down
SEMA5A	5.13E-15	-1.50153872972679	Down
PPARG	7.86E-12	-1.49333080765495	Down
CHAD	4.28E-22	-1.49162342458523	Down
HOXA6	2.95E-14	-1.48186987456716	Down
PHC3	4.93E-18	-1.48046556972139	Down
C7orf31	2.14E-18	-1.47798116074005	Down
MPP7	4.72E-17	-1.4767966188342	Down
PDCD4	5.01E-13	-1.4702515738385	Down
TDP2	3.13E-13	-1.46861577713991	Down
MS4A8	1.80E-06	-1.46648275612464	Down
AKR1B10	5.32E-05	-1.4646410528681	Down
CNKSR3	6.24E-19	-1.45871070312024	Down
PLCE1	8.98E-10	-1.45583943037231	Down
MT1E	2.30E-16	-1.45333982651284	Down
MT1X	1.86E-12	-1.45095472797342	Down
GALNT12	3.46E-08	-1.44175247682111	Down
HSD11B2	7.54E-06	-1.43868387946352	Down
NPY1R	6.08E-15	-1.43576100672108	Down
CYP4F12	4.93E-10	-1.43017512919466	Down
PRR15	1.15E-10	-1.42814846169259	Down
ISX	1.03E-08	-1.42536482529484	Down
BTNL8	7.61E-06	-1.42256746893375	Down
PCDH20	8.57E-06	-1.41869342344055	Down
SAMD13	7.87E-13	-1.41679961394101	Down
CNNM2	1.75E-22	-1.41485285754401	Down
FSIP2	1.38E-06	-1.41333297396883	Down
NIPAL1	1.98E-11	-1.40749206642109	Down
PCSK5	1.95E-11	-1.4010410591726	Down
BTNL8	1.85E-05	-1.4008360802104	Down
GCNT2	9.26E-15	-1.39046000207924	Down
MTMR11	2.78E-10	-1.38065158906755	Down
RETNLB	0.00274030507136	-1.37826931465394	Down
THRB	2.58E-08	-1.37622941774019	Down
HHLA2	0.000161415375344	-1.37618813406112	Down
PSD3	1.16E-16	-1.37046216725374	Down
METTL7A	1.87E-14	-1.36457034284818	Down
SNX30	1.20E-24	-1.36084348252364	Down
HPGD	2.15E-05	-1.358469249129	Down
SYTL2	1.83E-08	-1.35783024578226	Down
PHYH	1.86E-16	-1.35780791865255	Down
ACADS	1.22E-14	-1.34966849647483	Down
FAM162A	8.77E-14	-1.34729967143577	Down
AQP11	6.79E-24	-1.34365422596214	Down
STBD1	2.71E-17	-1.34276277285892	Down
HPGDS	4.24E-07	-1.34131532875735	Down
MYO1A	7.76E-07	-1.34127935272028	Down
USP30	6.82E-19	-1.33908420878085	Down
FABP2	0.000344555017564	-1.33837269402976	Down
EPB41L4B	2.36E-13	-1.3383197970631	Down
TCEA3	1.41E-07	-1.33644421835811	Down
CES3	7.40E-07	-1.33491425572815	Down
EDN3	2.03E-09	-1.33464130108946	Down
SETD9	5.13E-19	-1.33228297588919	Down
SCUBE2	1.18E-13	-1.32822400062781	Down
ANO5	4.82E-05	-1.32336031273012	Down
ZNF704	3.79E-13	-1.32106578544579	Down
MAB21L3	5.52E-07	-1.31430036972252	Down
SMPDL3A	9.05E-09	-1.31409658200535	Down
ZNF91	7.21E-17	-1.30921779686185	Down
CNGA1	1.19E-14	-1.30401003884751	Down
GPR160	2.95E-10	-1.30391331861899	Down
HOXA2	1.22E-13	-1.29941862819935	Down
SLC9A3	0.000978999907337	-1.29925422597393	Down
CMBL	7.98E-07	-1.29855198851251	Down
NRG4	3.80E-18	-1.29809194468096	Down
NAT2	8.61E-09	-1.2973879675158	Down
CLCN2	1.65E-09	-1.2930335763986	Down
PXMP2	1.83E-11	-1.29232166212512	Down
CPT1A	2.87E-16	-1.29164034341884	Down
CIPC	3.81E-19	-1.28731987772907	Down
WSCD1	3.14E-16	-1.28485704547097	Down
C1orf210	1.03E-07	-1.28381238799043	Down
TMEM38B	6.12E-14	-1.2826795338749	Down
ZNF429	2.34E-12	-1.27743247385818	Down
RMND5A	1.28E-12	-1.27182588272207	Down
FSIP2	9.84E-05	-1.27034021608624	Down
CHN2	1.66E-13	-1.26913668338553	Down
ACADM	2.93E-17	-1.26863947843165	Down
PLEKHG6	9.71E-10	-1.26800632083045	Down
APPL2	8.70E-13	-1.26664424874818	Down
LDHD	3.03E-09	-1.26497072712032	Down
SLC25A20	2.86E-17	-1.2628934550281	Down
NXPE1	0.002880086450767	-1.26228823714708	Down
IGSF9	9.68E-15	-1.25940266670033	Down
PRDX6	1.18E-13	-1.2586719408366	Down
PCCA	1.58E-14	-1.25135205015175	Down
LGALS2	2.45E-06	-1.25107273554948	Down
NTRK2	9.53E-08	-1.24942877621709	Down
BDH1	3.45E-09	-1.24782533557724	Down
ACKR2	5.41E-17	-1.24589559781402	Down
P2RY1	6.49E-18	-1.24525487962894	Down
SLC23A3	5.61E-15	-1.24518606488925	Down
CAPN9	1.19E-05	-1.24353881474706	Down
CLCA4	0.020198016957353	-1.23904598191324	Down
FGFR3	5.61E-16	-1.2364493113001	Down
XRCC6BP1	1.23E-14	-1.23621924165918	Down
LEAP2	3.66E-18	-1.23601011411686	Down
GPD1L	1.59E-09	-1.23373979088343	Down
MT1A	5.67E-14	-1.23354200383392	Down
PAG1	4.40E-16	-1.23117148647927	Down
MYO1D	1.25E-15	-1.22390214035022	Down
CES2	1.29E-08	-1.22336278220051	Down
CNTN4	7.12E-12	-1.22232927885622	Down
C2orf88	8.21E-13	-1.22231983183267	Down
VSIG10	5.43E-16	-1.22136732762811	Down
CCNJL	5.96E-19	-1.21892985138822	Down
FER1L6	0.000116865151196	-1.21601823001574	Down
FOXP2	1.21E-09	-1.21468248136423	Down
VIL1	2.25E-06	-1.21453203029943	Down
SLC20A2	1.95E-11	-1.21382005299397	Down
NUDT7	2.52E-14	-1.20545907799399	Down
FAHD1	1.22E-14	-1.20183855081958	Down
ARHGAP42	1.97E-18	-1.19936630618074	Down
KLK1	1.45E-07	-1.19596741752401	Down
SLC25A23	4.57E-11	-1.19588314198777	Down
IQGAP2	1.00E-12	-1.19570619478459	Down
AHCYL2	4.05E-08	-1.19549743525928	Down
ADAMTSL1	1.66E-12	-1.19449422275517	Down
IHH	1.91E-11	-1.19407175737145	Down
CYP2S1	3.20E-08	-1.18481866026162	Down
MAPRE3	7.55E-10	-1.18379647339444	Down
GRAMD3	4.46E-12	-1.1822712034899	Down
GCOM1	1.11E-11	-1.17996140130212	Down
HNF4G	4.62E-06	-1.17852704892042	Down
CYP27A1	3.21E-13	-1.17722704276984	Down
ZDHHC23	2.63E-16	-1.17359301841508	Down
GLB1L2	1.54E-09	-1.17219320195299	Down
MT1E	8.63E-13	-1.17137374875033	Down
STAP2	6.61E-07	-1.17049858950887	Down
GIPC2	1.31E-08	-1.16842539125695	Down
AIFM3	7.00E-13	-1.16714095217015	Down
TMED6	2.30E-10	-1.16274285412181	Down
IFT74	2.30E-13	-1.16208891687828	Down
ACVR2A	2.95E-15	-1.16117566048028	Down
STRADB	7.74E-10	-1.16109028000797	Down
GRAMD1C	1.99E-13	-1.15716667299276	Down
SERF1A	1.81E-16	-1.15710395875323	Down
SERF1A	1.81E-16	-1.15710395875323	Down
SERF1A	1.81E-16	-1.15710395875323	Down
C1orf115	5.57E-16	-1.15374800505409	Down
TMCC3	8.99E-13	-1.15143984445922	Down
NHSL1	7.83E-08	-1.14995131774771	Down
STRADB	3.77E-09	-1.14701502992612	Down
FRRS1	4.18E-09	-1.14502817690325	Down
PTGR1	5.63E-16	-1.14262369220876	Down
HTR4	6.38E-06	-1.14234375806919	Down
AKAP1	3.69E-11	-1.13921914147769	Down
NAALADL2	4.66E-09	-1.13796312980886	Down
TMEM220	9.26E-13	-1.13778852381588	Down
MTM1	1.03E-11	-1.13560457906585	Down
TESK2	6.53E-21	-1.13463968083264	Down
DDC	1.10E-08	-1.13422178484492	Down
GABRA2	4.20E-07	-1.13321513549959	Down
XK	1.69E-08	-1.13226018038132	Down
INPP5J	1.28E-19	-1.13151472844618	Down
SLC22A23	2.19E-10	-1.13044227694328	Down
MAST2	2.30E-16	-1.12903300774629	Down
HOOK1	1.33E-07	-1.1253765654608	Down
RETSAT	1.19E-10	-1.12515262631604	Down
OCLN	7.14E-05	-1.12426293162555	Down
HOXB5	8.32E-10	-1.12040749717853	Down
PLCD3	3.89E-10	-1.11976519177944	Down
NR1I2	1.40E-09	-1.11925615587961	Down
ASB13	7.65E-18	-1.11763738779591	Down
TSPAN6	4.47E-07	-1.11731819199341	Down
UGP2	4.44E-10	-1.11379177109462	Down
FNIP2	2.65E-15	-1.11152903425034	Down
NIPSNAP3A	1.36E-11	-1.10901781926295	Down
NDRG2	5.67E-09	-1.10535603069007	Down
KCNK5	1.96E-10	-1.10343277001135	Down
TMEM72	3.92E-11	-1.10281622680721	Down
GSTA1	3.92E-08	-1.10171311671444	Down
EDN1	1.84E-07	-1.10097582974038	Down
FZD5	7.76E-07	-1.09983893358967	Down
SLC1A1	1.94E-05	-1.0998180117405	Down
PLA2G12B	3.39E-17	-1.09945658399196	Down
SLC9A3R1	5.58E-12	-1.09460604652295	Down
CDHR5	2.64E-05	-1.09384050481523	Down
HNF1B	4.52E-08	-1.09361561697981	Down
MAGI1	1.83E-20	-1.09291079249554	Down
NAPEPLD	3.43E-08	-1.09095477055128	Down
ERBB3	8.33E-06	-1.08970128717025	Down
CAMK2N1	9.85E-10	-1.08918767753578	Down
FAM160A1	1.16E-07	-1.08458412086665	Down
GPR39	4.46E-09	-1.08353652776172	Down
GNA11	6.13E-09	-1.08339490748169	Down
LPCAT3	6.23E-14	-1.08089374186192	Down
RNF157	1.40E-06	-1.08068975371686	Down
HSD17B11	3.13E-13	-1.08041374799843	Down
SLC23A1	2.66E-20	-1.08027676141226	Down
SRI	4.63E-10	-1.07987665952685	Down
GNA11	3.78E-10	-1.07879787962519	Down
RNF128	1.59E-08	-1.07857981731866	Down
CHPT1	4.82E-13	-1.07677576374798	Down
MARVELD3	6.39E-10	-1.07594220627185	Down
NHEJ1	3.22E-14	-1.07497991534673	Down
LRRC75A	1.28E-09	-1.07333821995551	Down
TTPA	3.95E-13	-1.07329797817102	Down
KRCC1	4.74E-10	-1.07307511525397	Down
TRIM36	1.76E-10	-1.07157997623111	Down
PON3	1.18E-09	-1.07138476652832	Down
FAM101A	9.52E-14	-1.07136521102958	Down
PGAP3	3.26E-14	-1.07092710019016	Down
HRASLS2	0.00171696538514	-1.07061040929313	Down
SUCLG2	1.58E-09	-1.06846812930919	Down
PDE8A	8.22E-17	-1.06787985340916	Down
ABAT	1.24E-15	-1.06545717311658	Down
RBKS	6.43E-15	-1.06360467072715	Down
LRRN2	2.13E-15	-1.06278610962395	Down
PDE3A	4.50E-07	-1.06266878415405	Down
P2RX4	4.50E-09	-1.06216523398892	Down
PECR	1.19E-14	-1.06143277838864	Down
SLC22A18AS	3.70E-08	-1.06120569837645	Down
ZNF57	1.68E-12	-1.05938986485801	Down
HNMT	5.72E-16	-1.05759376003022	Down
DEPDC7	8.07E-20	-1.05712195741454	Down
MATN2	3.49E-15	-1.05455313976628	Down
TMEM144	1.88E-06	-1.04901752328872	Down
CA12	7.98E-11	-1.04873078990477	Down
ENPP3	0.000103639460448	-1.04856481092663	Down
TRABD2A	1.86E-10	-1.04754922017067	Down
ZFP3	1.73E-20	-1.04741505138436	Down
ARHGEF9	1.90E-11	-1.04720003941363	Down
SULT1A1	2.15E-13	-1.0453905688766	Down
CFTR	0.000180927796498	-1.0447586249623	Down
ACSS2	2.00E-07	-1.04395872253817	Down
PLA2R1	2.79E-13	-1.04307214716346	Down
ACADSB	1.54E-09	-1.04270689052604	Down
HNF4A	3.83E-07	-1.04100140594295	Down
CYP2J2	5.60E-07	-1.03978857884615	Down
PDZK1	3.09E-09	-1.03950368577062	Down
FAM47E	1.37E-17	-1.03730465063349	Down
CNNM4	4.86E-07	-1.0366259408318	Down
ABCD3	7.89E-11	-1.03404637260085	Down
FXYD3	9.26E-05	-1.03365374501502	Down
NMT2	1.09E-24	-1.03345556373665	Down
AVIL	2.09E-12	-1.03160616268681	Down
BDH2	2.10E-14	-1.03154822346214	Down
TM6SF2	6.82E-05	-1.03095610202412	Down
SH3BGRL2	9.62E-06	-1.03082893546944	Down
NEDD4L	1.56E-05	-1.03021635946657	Down
ACSM3	0.000462082285949	-1.02998667779892	Down
PRR5L	2.19E-07	-1.02648922965948	Down
ENDOD1	9.63E-09	-1.02507623578641	Down
PKDCC	2.22E-08	-1.02444549917181	Down
UGDH	1.61E-10	-1.0230052436717	Down
IYD	3.99E-13	-1.02186951349458	Down
ACAA2	1.04E-08	-1.01581314568623	Down
RNF125	5.13E-12	-1.01568363992542	Down
TMEM170A	3.10E-11	-1.01468717414853	Down
CHKA	1.82E-16	-1.01321557773054	Down
ZDHHC3	3.48E-12	-1.01300904697217	Down
EPB41L3	1.76E-12	-1.00932907542004	Down
ANKH	3.78E-15	-1.0092757666266	Down
EHHADH	6.15E-08	-1.00762926937149	Down
ARHGEF37	2.14E-15	-1.00753113652304	Down
FSIP2	4.14E-18	-1.00590898847866	Down
PEX26	8.18E-12	-1.00492414477188	Down
ACOT13	3.86E-11	-1.00476165945599	Down
C10orf99	0.028730318157841	-1.00299196130763	Down
HOXA5	1.41E-11	-1.0026440383197	Down
SCN9A	2.77E-08	-1.00258572864001	Down
SLC25A34	1.80E-14	-1.00203960309738	Down
ME3	1.34E-19	-1.00202685271631	Down
NR3C2	0.000122376921314	-1.00192712471145	Down
COBL	3.73E-08	-1.00192593059446	Down
STX19	0.000123968297682	-1.00079758897119	Down
MGAT4A	5.24E-11	-1.00042814761235	Down
GSTM4	5.13E-07	-1.00038163353639	Down
SLC20A1	5.16E-07	-0.997522243892872	Down
RNPC3	1.02E-11	-0.996692056076662	Down
MPP5	1.44E-12	-0.993842696096035	Down
MAML3	4.48E-15	-0.992943901479878	Down
PANK1	2.56E-11	-0.991038483490369	Down
HOXA7	1.12E-07	-0.990982398843103	Down
PMM1	3.64E-17	-0.990237497137041	Down
CPT2	2.52E-14	-0.989701011913509	Down
ST6GAL2	2.14E-05	-0.989123346410222	Down
MB	4.63E-09	-0.988456943186389	Down
GUCY2C	0.000215978199574	-0.988274163461291	Down
ALDH18A1	1.03E-14	-0.988224622402013	Down
PLXNA2	1.37E-13	-0.986716737263101	Down
SDR42E1	1.01E-11	-0.985551862404188	Down
ZBTB7C	4.94E-08	-0.985538035823255	Down
DEFB1	3.42E-10	-0.985383830004483	Down
CTSV	5.41E-13	-0.985377880876467	Down
PTPRF	4.11E-07	-0.985210745376401	Down
CTDSPL	4.78E-12	-0.985090856456068	Down
LRRC66	0.000483082124849	-0.984885941463206	Down
MTMR8	2.95E-15	-0.984497936162554	Down
HSDL2	1.59E-11	-0.982268668653499	Down
C5orf30	2.95E-05	-0.981448538323718	Down
NR5A2	8.46E-10	-0.980929379505882	Down
FAM213A	1.45E-11	-0.979002807908162	Down
PIP5K1B	4.28E-07	-0.975187045510504	Down
ZNF350	4.05E-16	-0.97292259584726	Down
ATOH1	0.009444648583206	-0.97179383668686	Down
ZNF124	1.56E-10	-0.971758694433206	Down
SULT1B1	8.59E-05	-0.971738371182489	Down
ABCA5	1.92E-09	-0.971439592978021	Down
SLC30A4	6.05E-15	-0.971149756118768	Down
PCK2	2.14E-11	-0.971123189445656	Down
CRYL1	5.03E-09	-0.971058581490579	Down
C9orf152	0.001932493024075	-0.970887547747056	Down
TST	4.11E-06	-0.970125367845153	Down
SMIM14	3.41E-10	-0.970117321767917	Down
ANK3	3.34E-12	-0.9681501072994	Down
ATP9A	1.48E-08	-0.966206565258142	Down
GDPD2	5.19E-05	-0.966166400128948	Down
PFN2	0.000120762679109	-0.965936438338557	Down
HIGD1A	2.55E-07	-0.965644440713165	Down
EAPP	1.79E-18	-0.965119647213973	Down
CEACAM7	0.014102437489539	-0.964924040751411	Down
SPTLC3	9.63E-09	-0.964261773504249	Down
EIF4EBP2	6.72E-19	-0.964118490161662	Down
ZNF675	3.11E-08	-0.963605176724654	Down
ATP8A1	1.88E-12	-0.96098947870213	Down
FABP3	2.33E-10	-0.96095386868094	Down
PUS10	4.36E-12	-0.958567801171217	Down
CAMK1D	1.05E-10	-0.957628002961831	Down
IGSF3	1.22E-08	-0.955760872995317	Down
HIBCH	1.13E-09	-0.955610259329198	Down
PFKFB2	9.20E-08	-0.953354148677258	Down
MARVELD2	0.000296319519129	-0.951391483624082	Down
MARVELD2	0.000296319519129	-0.951391483624082	Down
ENTPD8	1.38E-06	-0.950648428856875	Down
ABHD12B	0.001222244170694	-0.949076701726417	Down
IMPA2	8.28E-14	-0.946773312900267	Down
C6orf136	2.21E-11	-0.946728629383109	Down
C6orf136	2.21E-11	-0.946728629383109	Down
SLC44A1	1.36E-11	-0.946406413906214	Down
HIGD1A	1.02E-09	-0.944727515879652	Down
CENPV	1.82E-08	-0.944440754370611	Down
EDIL3	0.000722935653482	-0.944261751739607	Down
EFNA5	9.43E-08	-0.9442200779068	Down
TRPV3	6.34E-10	-0.943956648998745	Down
CHDH	4.75E-07	-0.941981123273816	Down
SLC25A33	3.72E-10	-0.940587146643313	Down
MYLIP	2.22E-14	-0.940425327159058	Down
MFSD4	0.00106075178792	-0.940321936201835	Down
DGKD	1.05E-17	-0.939624160496429	Down
AP1AR	5.57E-16	-0.938512793964598	Down
VSIG2	3.34E-05	-0.937653217176338	Down
ZSWIM5	6.75E-09	-0.936489565572039	Down
SEMA6D	3.99E-09	-0.934560747655183	Down
HRCT1	1.90E-05	-0.934440541071931	Down
FLVCR1	2.45E-09	-0.934063225623283	Down
PDE5A	1.16E-09	-0.93217360912742	Down
SEPSECS	2.25E-16	-0.932162032906907	Down
MRPL35	1.01E-10	-0.931095232352209	Down
NUDT12	2.06E-06	-0.929997933202067	Down
MPND	5.30E-15	-0.928796400062227	Down
ANKRD18A	1.32E-05	-0.927455166759601	Down
RIMKLA	1.05E-09	-0.926615795606391	Down
OPN3	1.06E-08	-0.925733591506521	Down
OXR1	3.39E-17	-0.924543245155146	Down
ZCCHC14	4.02E-16	-0.923820687124477	Down
PDHA1	3.29E-10	-0.923205989854591	Down
ZNF608	4.37E-17	-0.922787875171991	Down
SLC27A4	1.22E-12	-0.920403613599369	Down
ACOT8	6.77E-15	-0.918746719757864	Down
RNF5	4.94E-13	-0.917880261437046	Down
CGN	2.62E-05	-0.914683873815866	Down
SLC46A1	1.14E-09	-0.914630141162908	Down
ALDH6A1	1.23E-08	-0.911100403626241	Down
C5orf63	5.62E-09	-0.909195026980246	Down
PLCB4	9.57E-05	-0.90885698947095	Down
SFXN1	4.35E-15	-0.906413206985341	Down
OVOL1	6.00E-08	-0.90634667978698	Down
ACER2	9.71E-11	-0.905946019419575	Down
NUAK2	2.32E-11	-0.904795885428607	Down
CRAT	1.25E-10	-0.90464461696927	Down
ERBB2	2.95E-07	-0.904449959190405	Down
GPA33	0.002833181665428	-0.904226956557137	Down
VDR	1.72E-10	-0.904201180225357	Down
TRPM4	5.32E-09	-0.90404900698573	Down
FASTKD1	1.03E-11	-0.90393385955041	Down
FUCA1	1.18E-05	-0.903238761758534	Down
PAQR8	5.25E-07	-0.903010837115144	Down
EFCAB5	1.17E-17	-0.901374975245282	Down
TMEM133	5.48E-13	-0.900061448644622	Down
ADH1B	0.012099329877138	-0.899796863750143	Down
TLN2	1.30E-09	-0.897685913931648	Down
AFG3L2	1.14E-14	-0.897462337526438	Down
MKKS	1.84E-13	-0.89645637663879	Down
HRSP12	1.39E-08	-0.896429566036852	Down
TMEM141	2.13E-06	-0.895463822022691	Down
NGEF	2.21E-11	-0.895414149776609	Down
C11orf53	9.00E-12	-0.895279353577711	Down
ZNF681	6.67E-09	-0.895098269323592	Down
ANO10	1.56E-12	-0.894562994886371	Down
MAP3K13	4.51E-08	-0.894271738831842	Down
CDX2	1.22E-05	-0.89293081103072	Down
RAB11FIP1	7.57E-11	-0.890842451044332	Down
TCP11L2	2.78E-08	-0.889846077244457	Down
ATP13A4	5.55E-08	-0.889812836909818	Down
TPH1	0.036200071090971	-0.889187306874819	Down
TMEM98	2.82E-11	-0.888330270496189	Down
CLRN3	0.001311557708233	-0.887879785603859	Down
AKAP9	4.22E-11	-0.887464989838923	Down
