Gene	p (Corr)  [UC]vs [Not IBD]	FC ([UC] vs [Not IBD]) 	[UC] vs [Not IBD] 
PDK4	7.00E-07	-2.1948764	down
SEMA6A	9.82E-09	-2.0367515	down
SATB2	2.41E-11	-2.8121257	down
CLYBL	3.60E-23	-2.7541611	down
SEMA5A	1.24E-15	-2.6060812	down
PPARG	3.14E-22	-2.9158182	down
CHAD	1.99E-11	-4.3158236	down
C7orf31	6.80E-15	-2.1288118	down
MPP7	7.60E-14	-2.2476926	down
PDCD4	4.82E-19	-3.2437115	down
TDP2	1.63E-17	-2.5252116	down
MS4A8	1.83E-09	-2.391315	down
AKR1B10	4.66E-08	-2.1719146	down
CNKSR3	5.38E-18	-2.2785978	down
PLCE1	1.88E-10	-2.2245355	down
MT1E	3.49E-12	-2.9689004	down
MT1X	1.25E-13	-3.1244042	down
GALNT12	1.63E-18	-3.1597953	down
HSD11B2	4.90E-06	-2.1495957	down
NPY1R	5.70E-09	-2.4822123	down
CYP4F12	4.41E-07	-1.9622777	down
PRR15	1.23E-18	-3.2836208	down
ISX	1.15E-19	-6.144175	down
BTNL8	5.14E-11	-3.1156588	down
SAMD13	4.32E-17	-3.3264205	down
CNNM2	4.52E-24	-3.0776365	down
NIPAL1	4.35E-12	-2.5009446	down
PCSK5	1.54E-06	-1.603149	down
GCNT2	6.69E-12	-1.8243835	down
THRB	1.26E-24	-4.2907715	down
HHLA2	1.93E-15	-2.6899676	down
PSD3	2.95E-05	-1.5496396	down
METTL7A	1.07E-19	-2.156242	down
SNX30	4.62E-15	-2.2492547	down
HPGD	1.41E-12	-2.4992545	down
SYTL2	3.76E-05	-1.647995	down
PHYH	1.83E-24	-2.2921886	down
ACADS	9.99E-24	-3.1113153	down
FAM162A	1.70E-20	-2.6839094	down
AQP11	2.44E-18	-2.5318136	down
STBD1	6.88E-26	-2.654568	down
MYO1A	1.02E-07	-2.1195524	down
USP30	7.80E-17	-1.9799037	down
FABP2	1.74E-07	-2.4600258	down
EPB41L4B	9.85E-19	-3.4611487	down
TCEA3	6.27E-11	-2.431451	down
CES3	3.08E-04	-1.6772811	down
EDN3	6.19E-18	-4.5374045	down
SETD9	3.26E-16	-2.4110754	down
SCUBE2	3.31E-05	-1.5524367	down
ANO5	1.11E-12	-3.0614111	down
ZNF704	1.03E-12	-2.7651215	down
MAB21L3	2.43E-08	-2.111473	down
SMPDL3A	5.50E-16	-2.1997113	down
ZNF91	3.07E-08	-1.655181	down
CNGA1	5.81E-20	-4.7715144	down
GPR160	4.20E-21	-2.583283	down
CMBL	3.33E-19	-2.9563541	down
NRG4	7.32E-04	-2.151957	down
NAT2	2.88E-14	-2.605829	down
CLCN2	3.46E-13	-2.9319642	down
PXMP2	1.42E-21	-3.0279908	down
CPT1A	2.67E-12	-2.2399302	down
CIPC	2.07E-21	-2.3693469	down
WSCD1	3.57E-23	-3.737904	down
C1orf210	2.06E-15	-2.52856	down
TMEM38B	5.33E-30	-2.77644	down
RMND5A	8.18E-09	-1.7385042	down
CHN2	7.36E-11	-1.968742	down
ACADM	1.07E-14	-1.8550856	down
PLEKHG6	6.55E-15	-2.686582	down
APPL2	3.52E-13	-1.9907542	down
LDHD	1.05E-15	-4.842484	down
SLC25A20	1.41E-11	-1.6506962	down
NXPE1	9.31E-04	-1.7842271	down
IGSF9	1.07E-12	-3.701363	down
PRDX6	5.16E-25	-3.0035734	down
PCCA	4.70E-08	-1.5884528	down
LGALS2	1.66E-12	-3.3813915	down
NTRK2	2.51E-11	-6.2267885	down
BDH1	5.83E-13	-2.2497225	down
ACKR2	7.81E-18	-2.8552847	down
P2RY1	1.19E-14	-2.8039093	down
CAPN9	6.08E-04	-1.8566515	down
FGFR3	1.45E-07	-2.357808	down
XRCC6BP1	1.30E-20	-2.2243683	down
LEAP2	4.22E-06	-1.5712454	down
GPD1L	9.41E-13	-2.2943423	down
MT1A	8.24E-11	-3.1393728	down
PAG1	3.47E-11	-1.9746602	down
MYO1D	2.62E-18	-2.8010464	down
CES2	3.23E-17	-3.2145097	down
C2orf88	3.04E-12	-3.3010764	down
VSIG10	9.66E-24	-2.6888533	down
CCNJL	8.39E-17	-2.4344454	down
FER1L6	4.34E-04	-2.1280344	down
FOXP2	3.12E-09	-1.9683211	down
VIL1	7.81E-12	-2.5006306	down
SLC20A2	2.60E-14	-2.0056188	down
NUDT7	3.92E-17	-2.0480046	down
FAHD1	9.46E-16	-1.9571427	down
ARHGAP42	3.63E-08	-1.7844183	down
KLK1	2.14E-14	-3.569027	down
SLC25A23	3.91E-18	-2.445758	down
IQGAP2	1.32E-07	-1.6226983	down
AHCYL2	2.93E-16	-3.1528618	down
ADAMTSL1	2.46E-06	-1.8295258	down
IHH	2.26E-12	-2.8127065	down
CYP2S1	9.19E-25	-3.8898273	down
GRAMD3	5.99E-10	-1.8507743	down
GCOM1	2.18E-07	-2.452028	down
HNF4G	7.70E-07	-1.8354739	down
CYP27A1	7.70E-17	-2.1896164	down
ZDHHC23	4.30E-09	-1.9419873	down
GLB1L2	7.30E-09	-1.7518116	down
STAP2	2.88E-12	-2.3206658	down
GIPC2	4.37E-20	-2.9287443	down
AIFM3	2.65E-04	-1.8390919	down
TMED6	1.73E-08	-2.3137097	down
ACVR2A	1.12E-14	-1.9026058	down
STRADB	2.20E-13	-1.8217051	down
GRAMD1C	8.41E-06	-1.5103058	down
C1orf115	3.45E-18	-2.3968127	down
TMCC3	1.67E-22	-3.3783703	down
NHSL1	1.59E-15	-2.889946	down
FRRS1	2.65E-06	-1.8613873	down
PTGR1	4.01E-17	-1.7441224	down
AKAP1	1.27E-10	-1.9043547	down
NAALADL2	7.83E-06	-1.6191458	down
TMEM220	8.93E-09	-2.121639	down
MTM1	1.78E-13	-2.1938136	down
TESK2	2.25E-17	-2.1074443	down
DDC	2.81E-17	-3.0992346	down
GABRA2	1.46E-14	-2.8545978	down
XK	1.33E-17	-2.8735316	down
INPP5J	3.80E-11	-2.5671265	down
SLC22A23	6.44E-13	-2.4572132	down
MAST2	8.33E-08	-1.6550674	down
HOOK1	4.68E-06	-1.731586	down
RETSAT	9.69E-19	-2.6369507	down
OCLN	1.05E-10	-2.0923185	down
PLCD3	1.64E-16	-2.5999606	down
NR1I2	9.04E-08	-1.8707372	down
ASB13	1.43E-23	-2.314093	down
TSPAN6	8.04E-15	-2.5035424	down
UGP2	2.58E-12	-2.048185	down
FNIP2	1.42E-06	-1.7305549	down
NIPSNAP3A	2.47E-15	-1.8147118	down
NDRG2	1.01E-11	-2.0818753	down
KCNK5	7.84E-17	-2.795856	down
TMEM72	1.74E-08	-6.0994444	down
GSTA1	3.74E-07	-6.7187653	down
EDN1	2.15E-14	-2.0261958	down
FZD5	5.40E-13	-2.4355588	down
SLC1A1	4.10E-11	-2.552863	down
PLA2G12B	4.47E-18	-22.351841	down
SLC9A3R1	7.52E-17	-1.9963373	down
CDHR5	5.88E-09	-1.990932	down
HNF1B	6.13E-11	-2.219386	down
MAGI1	5.51E-12	-2.3957384	down
NAPEPLD	5.31E-08	-1.6658696	down
ERBB3	8.61E-07	-1.7348588	down
CAMK2N1	5.96E-21	-3.240567	down
FAM160A1	1.09E-06	-2.057847	down
GPR39	1.45E-18	-2.5270042	down
GNA11	7.71E-11	-1.9251755	down
LPCAT3	1.92E-17	-1.9530144	down
HSD17B11	9.06E-22	-2.5073955	down
SRI	6.51E-20	-2.5319183	down
RNF128	1.96E-25	-3.3479784	down
CHPT1	3.29E-21	-2.26127	down
MARVELD3	1.74E-15	-2.3342528	down
NHEJ1	2.53E-23	-2.9544575	down
LRRC75A	8.95E-17	-2.4188688	down
TTPA	3.45E-12	-3.4075994	down
KRCC1	3.93E-12	-1.6101052	down
TRIM36	1.86E-09	-2.1006918	down
PON3	4.48E-08	-1.7582823	down
FAM101A	6.56E-16	-3.2907538	down
PGAP3	3.72E-18	-2.249793	down
SUCLG2	2.45E-19	-2.4182453	down
ABAT	8.57E-19	-2.3648205	down
RBKS	7.28E-14	-1.8319588	down
LRRN2	3.48E-39	-11.848882	down
PDE3A	1.13E-09	-2.3219109	down
PECR	7.29E-14	-1.7964051	down
SLC22A18AS	9.04E-14	-2.7866178	down
ZNF57	1.31E-15	-2.118352	down
HNMT	1.54E-16	-1.8302014	down
DEPDC7	9.39E-26	-2.9163373	down
MATN2	3.35E-09	-1.7854098	down
TMEM144	3.82E-13	-1.967007	down
CA12	1.06E-13	-2.9326813	down
TRABD2A	7.06E-15	-2.6190302	down
SULT1A1	8.95E-15	-3.6379597	down
CFTR	1.27E-09	-2.4555314	down
ACSS2	1.34E-06	-1.6729174	down
PLA2R1	1.69E-06	-1.6024143	down
ACADSB	1.69E-07	-1.8145393	down
HNF4A	8.50E-12	-2.2254744	down
CYP2J2	1.46E-12	-2.6309297	down
PDZK1	4.46E-23	-7.667377	down
FAM47E	8.74E-14	-2.0584016	down
CNNM4	7.07E-14	-2.424304	down
ABCD3	9.13E-14	-2.0511544	down
FXYD3	2.09E-19	-3.1078691	down
NMT2	4.30E-12	-1.6740395	down
TM6SF2	1.28E-11	-3.6327472	down
SH3BGRL2	1.76E-16	-2.715232	down
NEDD4L	3.08E-09	-1.9697896	down
ACSM3	1.79E-07	-2.0711427	down
ENDOD1	5.91E-25	-3.3684838	down
PKDCC	4.66E-21	-3.015597	down
UGDH	1.70E-13	-2.2886174	down
IYD	3.34E-13	-2.7661395	down
ACAA2	1.92E-11	-1.8146626	down
RNF125	1.58E-10	-2.0173507	down
TMEM170A	2.17E-13	-1.8176037	down
EPB41L3	8.20E-09	-1.8275381	down
ANKH	1.38E-19	-1.9573139	down
EHHADH	3.50E-11	-1.9840008	down
ARHGEF37	8.53E-07	-1.5794804	down
PEX26	4.56E-17	-2.5380893	down
ACOT13	1.18E-20	-2.0083685	down
SCN9A	8.47E-11	-2.9964545	down
SLC25A34	2.00E-14	-2.9055781	down
NR3C2	2.05E-07	-2.0255914	down
COBL	4.22E-12	-2.3547685	down
STX19	8.45E-05	-1.5083027	down
MGAT4A	5.98E-12	-1.7059335	down
GSTM4	1.82E-11	-1.735268	down
MPP5	5.29E-11	-1.7442986	down
MAML3	3.50E-12	-2.2453225	down
PANK1	1.25E-10	-2.2954993	down
HOXA7	4.30E-07	-1.8565872	down
PMM1	3.58E-16	-1.9294635	down
CPT2	3.00E-16	-2.0953188	down
ST6GAL2	1.73E-15	-6.5039873	down
MB	1.62E-09	-3.4375923	down
GUCY2C	1.42E-12	-2.4345303	down
ALDH18A1	9.05E-15	-1.8878595	down
PLXNA2	1.55E-06	-1.6948017	down
ZBTB7C	5.42E-16	-3.1742187	down
DEFB1	3.97E-20	-5.864537	down
CTSV	1.12E-09	-2.1100478	down
PTPRF	1.16E-13	-2.5230277	down
CTDSPL	1.88E-19	-2.2236037	down
LRRC66	1.07E-07	-1.9701804	down
MTMR8	3.97E-09	-1.8762715	down
HSDL2	4.77E-12	-1.7370664	down
C5orf30	6.40E-10	-1.9994164	down
NR5A2	5.11E-16	-2.539409	down
FAM213A	2.05E-12	-1.6310107	down
PIP5K1B	2.95E-10	-1.7946317	down
ZNF350	9.27E-15	-1.7825973	down
ATOH1	1.21E-04	-1.889689	down
ZNF124	8.29E-10	-1.6211373	down
SULT1B1	2.33E-10	-2.519868	down
SLC30A4	8.50E-15	-1.8270015	down
PCK2	2.36E-14	-1.9628252	down
CRYL1	8.91E-17	-2.0218375	down
C9orf152	8.12E-13	-2.4486861	down
TST	3.35E-15	-2.376168	down
SMIM14	3.07E-26	-2.4833272	down
ANK3	1.65E-22	-3.5713203	down
ATP9A	1.01E-10	-2.0733545	down
GDPD2	1.04E-15	-3.7298777	down
HIGD1A	5.51E-19	-2.2883532	down
EAPP	1.72E-25	-2.0145786	down
CEACAM7	1.01E-04	-1.8809633	down
SPTLC3	4.11E-05	-1.6171871	down
EIF4EBP2	2.43E-23	-2.2721176	down
ZNF675	1.15E-08	-1.5726115	down
CAMK1D	1.43E-14	-2.251132	down
IGSF3	2.74E-12	-2.4660792	down
PFKFB2	5.69E-06	-1.6190139	down
MARVELD2	3.95E-11	-2.0331645	down
ENTPD8	1.30E-09	-2.4389555	down
IMPA2	4.22E-19	-2.2809203	down
C6orf136	3.51E-08	-1.6430935	down
SLC44A1	1.50E-16	-2.2953007	down
EDIL3	1.90E-07	-1.6932701	down
EFNA5	4.87E-07	-1.7511672	down
CHDH	5.88E-11	-2.2062461	down
MYLIP	8.06E-11	-1.7071856	down
MFSD4	9.72E-14	-5.0549726	down
VSIG2	2.42E-14	-3.3133583	down
ZSWIM5	2.37E-10	-2.2000158	down
SEMA6D	2.25E-04	-1.5974976	down
HRCT1	1.16E-06	-2.9877312	down
MRPL35	1.05E-12	-1.649504	down
NUDT12	2.09E-07	-1.7828895	down
MPND	2.07E-17	-1.9320492	down
RIMKLA	3.29E-20	-3.0934868	down
OPN3	2.89E-18	-1.863829	down
OXR1	3.11E-11	-1.5989479	down
ZCCHC14	3.38E-06	-1.5081254	down
PDHA1	3.70E-09	-1.5373834	down
SLC27A4	1.81E-10	-1.5970601	down
ACOT8	5.88E-19	-1.8102806	down
RNF5	2.28E-24	-1.9773953	down
SLC46A1	6.78E-21	-2.4231818	down
ALDH6A1	8.68E-08	-1.7348336	down
PLCB4	5.56E-04	-1.5487055	down
OVOL1	1.36E-11	-2.0652366	down
ACER2	2.99E-20	-4.2601805	down
NUAK2	2.16E-11	-1.9206201	down
CRAT	1.03E-11	-1.6851237	down
ERBB2	5.27E-13	-2.1961892	down
GPA33	3.61E-12	-2.3677676	down
VDR	7.56E-19	-2.629676	down
PAQR8	1.97E-12	-2.1122947	down
EFCAB5	1.11E-06	-1.7368127	down
TLN2	3.80E-09	-1.9108801	down
AFG3L2	5.83E-18	-2.109254	down
MKKS	1.99E-14	-1.5627615	down
HRSP12	3.36E-11	-1.5190843	down
TMEM141	4.54E-20	-2.5103886	down
NGEF	2.44E-07	-1.7858576	down
C11orf53	2.13E-05	-1.8724369	down
ZNF681	1.21E-07	-1.7796341	down
ANO10	1.04E-17	-2.1311502	down
CDX2	2.85E-12	-2.712152	down
RAB11FIP1	6.78E-11	-2.192395	down
ATP13A4	1.60E-08	-2.7524343	down
TPH1	9.13E-11	-3.7030017	down
TMEM98	1.16E-27	-3.3210678	down
CLRN3	6.41E-13	-2.0731206	down
AKAP9	8.31E-11	-1.9180452	down
BTBD3	5.15E-10	-1.7622825	down
TOM1L1	1.62E-09	-1.7605128	down
PTPN21	6.43E-11	-1.8764428	down
NBEAL1	1.59E-07	-1.8356856	down
KIAA1161	1.16E-10	-2.1251826	down
ALDH5A1	3.51E-11	-1.8679105	down
STX3	6.27E-13	-1.8857998	down
AGMAT	2.87E-07	-1.545658	down
BPHL	4.01E-11	-1.5160452	down
CPNE2	5.42E-11	-1.675489	down
GRAMD4	1.61E-10	-1.8082008	down
GBAS	5.02E-15	-1.7396554	down
ZADH2	7.94E-09	-1.6364369	down
BCAS1	2.16E-07	-1.9665915	down
RDH5	3.51E-10	-1.8982095	down
MICALCL	9.80E-09	-2.4322722	down
PCSK6	2.20E-06	-1.8518685	down
KLHL8	2.05E-13	-2.0872965	down
LYRM7	8.87E-08	-1.5442563	down
KRT20	1.56E-07	-1.8634888	down
SECTM1	3.36E-08	-1.9080994	down
BSG	1.03E-17	-1.8867537	down
SCP2	6.26E-16	-1.8842552	down
PPP1R36	9.43E-21	-3.333842	down
C4orf19	1.83E-07	-1.6777018	down
PAPSS2	4.23E-09	-1.8172836	down
CAT	2.82E-12	-1.6663468	down
MBOAT1	2.13E-04	-1.5596521	down
SEPHS2	7.49E-23	-2.1140783	down
DTX4	1.60E-10	-1.7845763	down
ANKDD1B	3.98E-04	-1.5686758	down
TPRG1L	1.45E-25	-2.0509627	down
CDH17	8.11E-11	-2.0937016	down
NDRG1	2.19E-15	-1.9862256	down
C6orf222	5.70E-08	-1.8489014	down
HADH	6.04E-08	-1.639195	down
RAB4A	2.58E-18	-1.7105553	down
SLC35D2	2.14E-16	-1.7775711	down
CMTM4	3.62E-14	-2.6837113	down
CDK20	1.69E-16	-2.2542892	down
SEMA4G	2.70E-10	-2.112847	down
TFCP2L1	1.19E-11	-2.6120362	down
BCAT2	1.12E-20	-2.2864897	down
AK3	9.11E-16	-1.8078067	down
EPB41L5	4.33E-11	-1.7155501	down
GAB1	2.80E-06	-1.6915699	down
PEX11A	1.51E-21	-2.4667172	down
CDKL1	5.37E-12	-2.3262963	down
DDAH2	6.56E-20	-2.006715	down
OSBPL1A	5.83E-21	-1.9870142	down
TMCO1	4.47E-32	-2.2688699	down
ARV1	1.37E-15	-1.715112	down
STARD10	1.42E-17	-2.7245674	down
CEP70	2.07E-06	-1.5004957	down
ETHE1	8.55E-16	-2.5220854	down
ESRP1	2.26E-07	-1.7816019	down
CPM	6.31E-09	-2.1084027	down
C11orf54	2.79E-10	-1.7551515	down
ADIRF	2.04E-27	-3.7986503	down
PRKACB	6.48E-17	-2.198971	down
MGAT4B	3.36E-18	-2.0598454	down
SERINC5	5.78E-15	-2.5103617	down
ADD3	1.48E-10	-1.9166461	down
ZNF768	1.60E-16	-1.8497195	down
SLC44A3	2.88E-14	-2.0064104	down
LIPH	2.80E-09	-1.8789461	down
LETM1	6.23E-06	-1.5278552	down
XYLB	1.33E-06	-1.6662096	down
ZNF844	1.78E-11	-1.9564444	down
MXI1	2.49E-10	-2.088434	down
CCDC112	1.06E-08	-1.5178177	down
ATP1B3	1.69E-12	-1.8304398	down
HMGA2	1.24E-16	-2.741055	down
KCNJ2	1.74E-12	-2.1098225	down
SSTR1	5.36E-14	-3.6893172	down
PPM1A	2.76E-13	-1.655464	down
DYRK2	1.68E-06	-1.5899385	down
GCNT1	1.81E-11	-2.057199	down
MMP28	3.26E-24	-4.5364256	down
ECH1	1.00E-19	-1.9980365	down
GALM	7.05E-13	-1.8591697	down
NRIP1	3.65E-09	-1.9570802	down
SPR	2.27E-25	-2.4765291	down
MOCS1	4.82E-16	-1.9917364	down
EPB41L1	9.40E-18	-2.395659	down
SMPDL3B	3.09E-23	-2.422011	down
ATP8B1	1.42E-07	-2.119634	down
LRRC1	6.83E-13	-1.9393048	down
PLA2G10	1.56E-07	-1.875307	down
TRAK2	3.83E-09	-1.6374482	down
EPHX1	6.13E-13	-1.6765312	down
POF1B	2.20E-11	-2.0977304	down
MEST	4.91E-07	-1.5047808	down
LRP6	1.59E-05	-1.5983238	down
PRR15L	3.76E-07	-1.7272636	down
GLTP	1.30E-17	-2.0546267	down
ACOT11	2.82E-11	-1.9839777	down
AP3S2	4.22E-14	-1.8881421	down
TM4SF5	7.39E-19	-4.070313	down
RAB17	1.27E-08	-1.9728391	down
CYCS	9.77E-12	-1.8310096	down
FCGRT	1.86E-22	-2.2772176	down
ILDR1	6.67E-18	-3.065859	down
DEPTOR	2.28E-07	-1.8750181	down
SLC41A2	1.39E-09	-1.7634264	down
C5orf52	2.34E-05	-1.7645528	down
PNPLA4	5.35E-13	-1.966851	down
ANKS4B	3.42E-10	-1.9607296	down
PGM1	6.07E-16	-1.9013156	down
SUCLG1	1.13E-16	-2.001997	down
TMEM9B	4.99E-24	-2.0480392	down
BPNT1	6.37E-17	-2.00262	down
RBM24	1.20E-11	-4.169204	down
CASP6	3.41E-12	-1.81354	down
PANK3	1.91E-08	-1.7703917	down
SERINC2	2.56E-13	-2.1195266	down
ANXA13	5.15E-07	-2.058711	down
ZSWIM3	6.78E-12	-1.5308379	down
ASTE1	6.75E-13	-1.5338756	down
LAMTOR4	1.72E-19	-1.8987975	down
SDHD	3.50E-17	-1.8413259	down
WASL	3.59E-13	-2.0460925	down
TMEM192	9.41E-18	-2.3417177	down
NR6A1	2.44E-07	-1.6921188	down
ACO2	2.19E-13	-1.7303979	down
GRHL2	4.99E-06	-1.7509352	down
THRA	3.19E-12	-1.84771	down
MRPL34	6.61E-15	-1.6217262	down
C14orf142	1.09E-19	-1.7145401	down
ATP2C2	6.61E-04	-1.6749159	down
HADHB	7.89E-14	-1.6806473	down
SNX4	7.06E-13	-1.6738746	down
USH1C	3.68E-07	-1.5698735	down
MAGI3	7.74E-07	-1.6955343	down
AUH	1.89E-21	-1.9077448	down
KNG1	1.15E-04	-2.919601	down
CLIP2	7.94E-09	-1.5745254	down
ALPI	1.89E-18	-6.5424113	down
BCL2L14	8.61E-11	-1.9239033	down
FN3K	6.27E-06	-1.539546	down
ACOX2	2.07E-06	-1.5453892	down
OVOL2	2.47E-12	-2.0615618	down
FAM13A	3.58E-06	-1.5058787	down
CTSA	6.65E-14	-1.6974231	down
LGALSL	1.55E-06	-1.5332199	down
SLC52A3	1.72E-10	-1.831393	down
TLDC2	1.89E-15	-1.9170065	down
NCBP2-AS2	5.40E-19	-1.7511579	down
LGALS4	8.39E-14	-2.5689895	down
LNX2	1.74E-07	-1.6378679	down
LMTK2	1.67E-08	-1.8867598	down
PTK6	5.66E-08	-1.6509546	down
GDE1	1.52E-13	-1.6479449	down
OPHN1	5.04E-06	-1.6427304	down
PRELID2	5.44E-06	-1.5419226	down
NDUFA5	4.20E-16	-1.8308483	down
DAGLA	1.18E-07	-1.7460415	down
GGT6	2.44E-13	-2.439374	down
OCRL	4.21E-08	-1.6290814	down
CASD1	9.38E-06	-1.5050125	down
FBXO34	4.78E-10	-1.6796173	down
HMGCL	4.11E-17	-1.8155255	down
TGFA	7.67E-16	-2.0115147	down
AGFG2	1.06E-12	-1.8760437	down
ITPKA	1.86E-20	-3.9089775	down
AAMDC	7.38E-24	-1.9989247	down
ASPA	2.34E-05	-1.6154307	down
ZNF813	1.11E-10	-1.785727	down
UGT8	3.46E-12	-2.128337	down
MUT	5.81E-10	-1.6662828	down
